model,dataset,prompt_type,llm_mean,llm_median,llm_std,llm_consensus_rate,st_mean,st_median,st_std,st_success_rate,agreement_rate,both_success_rate,neither_success_rate,combined_score
GPT3.5,Dataset_DeadCode_Description,Description_Fewshot,0.2894,0.175,0.3123421841506523,0.236,0.42527896159887313,0.42253513634204865,0.15601339410948784,0.308,0.672,0.108,0.564,0.35733948079943656
GPT3.5,Dataset_DeadCode_Description,Description_Simple,0.2798,0.2,0.29285142990943375,0.232,0.42193478903174403,0.4091363847255707,0.17398331194157515,0.34,0.732,0.152,0.58,0.350867394515872
GPT3.5,Dataset_DeadCode_Description,Description_Reason,0.2722,0.2,0.27963755112645367,0.224,0.4060467965900898,0.394485205411911,0.15994385735051028,0.284,0.724,0.116,0.608,0.3391233982950449
GPT3.5,Dataset_DeadCode_Description,Description_Vague,0.277,0.2,0.2867420443534572,0.236,0.3268827674686909,0.31673741340637207,0.15001901098343184,0.148,0.752,0.068,0.684,0.3019413837343454
GPT3.5,Dataset_DeadCode_Description,Description_Detailed,0.2764,0.15,0.29034985793004964,0.26,0.318538580827415,0.3076587915420532,0.14903831994911437,0.108,0.736,0.052,0.684,0.2974692904137075
GPT3.5,Dataset_Encryption_Description,Description_Simple,0.12440000000000001,0.05,0.22073658509635416,0.084,0.3233515655100346,0.29823310673236847,0.16454551374886459,0.156,0.8,0.02,0.78,0.2238757827550173
GPT3.5,Dataset_Encryption_Description,Description_Fewshot,0.10479999999999999,0.025,0.17645668023625516,0.056,0.33733254741132257,0.3247726559638977,0.15750016188984148,0.148,0.836,0.02,0.816,0.2210662737056613
GPT3.5,Dataset_Encryption_Description,Description_Reason,0.1142,0.0,0.19403185305511053,0.06,0.30581229300796986,0.287728026509285,0.14583338486795683,0.108,0.872,0.02,0.852,0.21000614650398491
GPT3.5,Dataset_Encryption_Description,Description_Vague,0.1368,0.05,0.2310103028005461,0.088,0.282621962569654,0.2664676606655121,0.1307245320432542,0.076,0.868,0.016,0.852,0.209710981284827
GPT3.5,Dataset_Encryption_Description,Description_Detailed,0.109,0.0,0.2025067900096192,0.064,0.27865373487956824,0.2607952654361725,0.1444724130862854,0.092,0.868,0.012,0.856,0.1938268674397841
GPT3.5,Dataset_With_Comments_Description,Description_Simple,0.452,0.45,0.3209610568277716,0.448,0.4947705951035023,0.49450333416461945,0.1602645837741799,0.492,0.596,0.268,0.328,0.4733852975517512
GPT3.5,Dataset_With_Comments_Description,Description_Fewshot,0.4476,0.45,0.3111177269137842,0.46,0.48160968445241453,0.4898586869239807,0.16353530660655083,0.48,0.604,0.272,0.332,0.46460484222620724
GPT3.5,Dataset_With_Comments_Description,Description_Reason,0.4482,0.42500000000000004,0.30223626519661734,0.464,0.47623988461494443,0.48041512072086334,0.16086238562400051,0.468,0.572,0.252,0.32,0.4622199423074722
GPT3.5,Dataset_Without_Comments_Description,Description_Simple,0.4104,0.4,0.32977543874582294,0.428,0.49216274482011796,0.49465520679950714,0.16491246865897563,0.488,0.596,0.256,0.34,0.45128137241005895
GPT3.5,Dataset_Without_Comments_Description,Description_Fewshot,0.3946,0.35,0.3054518620011998,0.396,0.48105264773964884,0.48221537470817566,0.1532500251735627,0.456,0.564,0.208,0.356,0.43782632386982445
GPT3.5,Dataset_Without_Comments_Description,Description_Reason,0.3842,0.4,0.29698545418925826,0.38,0.4437793981432915,0.4263713210821152,0.1563466481056003,0.36,0.612,0.176,0.436,0.41398969907164573
GPT3.5,Variable_Renaming_Description,Description_Simple,0.2902,0.2,0.29392849470577026,0.276,0.404710274040699,0.3955606669187546,0.1693849712781712,0.3,0.696,0.136,0.56,0.34745513702034947
GPT3.5,Variable_Renaming_Description,Description_Fewshot,0.274,0.2,0.28415488734139344,0.236,0.41774216966331007,0.4041041135787964,0.1615841903173409,0.324,0.68,0.12,0.56,0.3458710848316551
GPT3.5,Variable_Renaming_Description,Description_Reason,0.2938,0.225,0.27991348663471005,0.284,0.38608206176757814,0.38415905833244324,0.15916765078980924,0.236,0.744,0.132,0.612,0.3399410308837891
GPT3.5,Variable_Renaming_Description,Description_Detailed,0.287,0.2,0.289967239528882,0.272,0.3524138970039785,0.3460101932287216,0.16256784873604344,0.196,0.708,0.088,0.62,0.3197069485019892
GPT3.5,Variable_Renaming_Description,Description_Vague,0.29760000000000003,0.2,0.2993897793846677,0.28,0.2845593353956938,0.26526616513729095,0.15027034241980378,0.096,0.744,0.06,0.684,0.2910796676978469
GPT4o,Dataset_DeadCode_Description,Description_Fewshot,0.4998,0.5,0.3052375468385238,0.508,0.48414004147052764,0.48670919239521027,0.15853688026225096,0.468,0.544,0.26,0.284,0.49197002073526386
