model,Overall_Mean,Std,Min,Max
Gemini,0.6759,0.0483,0.582,0.7338
O4-mini,0.6448,0.0404,0.5694,0.7008
deepseek-r1,0.6342,0.0825,0.4736,0.7034
deepseek-v3.1,0.6044,0.1104,0.3954,0.6916
GPT4o,0.4386,0.1344,0.2002,0.581
qwencoder32B,0.3157,0.0851,0.1502,0.421
llama70B,0.3117,0.1321,0.0992,0.4786
GPT3.5,0.284,0.1139,0.1048,0.452
mistral,0.1883,0.0988,0.0682,0.354
Qwen3VL,0.1622,0.1273,0.0326,0.3712
codellama,0.1462,0.0593,0.075,0.2448
starchat,0.1324,0.0368,0.0534,0.1926
starcoder,0.0465,0.0307,0.0108,0.0996
LlamaVL,0.0051,0.0067,0.0,0.0194
