model,Overall_Mean,Std,Min,Max
deepseek-r1,0.517,0.046,0.3867,0.5764
deepseek-v3.1,0.5071,0.0833,0.2094,0.5844
Gemini,0.4986,0.066,0.3771,0.5809
O4-mini,0.4755,0.0716,0.2905,0.5442
GPT4o,0.4184,0.0807,0.2588,0.5261
llama70B,0.4119,0.0682,0.2745,0.4874
qwencoder32B,0.4006,0.0664,0.2596,0.4907
GPT3.5,0.3877,0.0747,0.2787,0.4948
mistral,0.3722,0.0615,0.2537,0.4625
starchat,0.3691,0.0857,0.2065,0.4773
Qwen3VL,0.3465,0.0794,0.2089,0.4649
codellama,0.2416,0.0685,0.1626,0.3579
starcoder,0.1888,0.1171,0.0978,0.4342
LlamaVL,0.1769,0.035,0.1118,0.2575
