group,problem_id,success_rate,success_count,total_evaluations,lines_of_code,cyclomatic_complexity_total,cyclomatic_complexity_max,density,shannon_entropy,function_count,max_nesting_depth,has_recursion,task_type
success,p03470,0.6054,178,294,103,31,11,0.300971,4.100647,10,5,1,sort
success,p02701,0.6020,177,294,84,32,11,0.380952,4.254828,9,4,1,count
success,p02898,0.5612,165,294,160,49,15,0.30625,3.568807,10,5,1,count
success,p03160,0.5442,160,294,237,48,20,0.202532,3.368857,13,7,1,other
success,p02393,0.5204,153,294,43,25,25,0.581395,3.267381,1,3,0,sort
success,p02259,0.5034,148,294,122,36,11,0.295082,4.998427,9,5,1,sort
success,p02835,0.5000,147,294,116,34,11,0.293103,4.210547,11,4,1,sum
success,p02831,0.5000,147,294,81,19,19,0.234568,3.978976,1,6,0,other
failure,p03448,0.4898,144,294,53,41,41,0.773585,3.746183,1,6,0,count
failure,p03293,0.4864,143,294,134,44,14,0.328358,3.551625,10,5,1,string
failure,p03161,0.4864,143,294,240,48,20,0.2,3.345346,13,7,1,min
failure,p00003,0.4864,143,294,60,20,20,0.333333,4.807224,1,7,0,other
failure,p02934,0.4864,143,294,155,44,15,0.283871,4.144147,13,6,1,sum
failure,p02388,0.4830,142,294,23,6,6,0.26087,5.012921,1,4,0,other
failure,p02766,0.4830,142,294,99,28,11,0.282828,3.982178,10,5,1,count
failure,p00006,0.4762,140,294,31,6,6,0.193548,4.954644,1,5,0,string
failure,p00001,0.4728,139,294,45,12,12,0.266667,4.845887,1,6,0,sort
failure,p02995,0.4694,138,294,104,23,21,0.221154,4.562625,2,5,1,count
failure,p02400,0.4694,138,294,23,3,3,0.130435,4.156796,1,4,0,other
failure,p02829,0.4694,138,294,33,25,25,0.757576,4.68147,1,3,0,unique
failure,p02263,0.4660,137,294,66,19,14,0.287879,4.947003,6,5,1,other
failure,p02629,0.4626,136,294,45,33,33,0.733333,4.996091,1,4,0,unique
failure,p02982,0.4626,136,294,185,60,14,0.324324,4.920958,18,5,1,count
failure,p02577,0.4592,135,294,149,48,15,0.322148,4.918162,10,5,1,digit
failure,p02260,0.4592,135,294,97,38,11,0.391753,4.091722,10,5,1,sort
failure,p03456,0.4592,135,294,84,31,11,0.369048,4.386163,9,4,1,string
failure,p02414,0.4558,134,294,69,22,22,0.318841,4.827551,1,7,0,other
failure,p02952,0.4558,134,294,173,57,14,0.32948,3.716478,18,5,1,count
failure,p03434,0.4524,133,294,110,35,11,0.318182,4.996895,10,4,1,sort
failure,p02595,0.4490,132,294,199,63,14,0.316583,3.62122,19,5,1,count
failure,p02812,0.4456,131,294,149,53,12,0.355705,4.49003,22,5,1,count
failure,p02417,0.4456,131,294,89,59,59,0.662921,4.94633,1,5,0,other
failure,p02412,0.4422,130,294,61,25,25,0.409836,4.690923,1,12,0,count
failure,p03316,0.4422,130,294,128,39,11,0.304688,4.409755,12,5,1,digit
failure,p02887,0.4388,129,294,125,38,11,0.304,4.470359,11,5,1,count
failure,p02264,0.4388,129,294,86,22,14,0.255814,4.802707,9,7,1,other
failure,p02402,0.4354,128,294,46,12,12,0.26087,4.863154,1,5,0,sum
failure,p03000,0.4354,128,294,126,40,14,0.31746,3.490377,8,5,0,count
failure,p02410,0.4354,128,294,53,17,17,0.320755,4.821975,1,6,0,other
failure,p02682,0.4286,126,294,56,18,18,0.321429,4.181296,1,6,0,sum
failure,p02705,0.4286,126,294,109,32,11,0.293578,3.768027,10,5,1,sum
failure,p02392,0.4286,126,294,37,19,19,0.513514,3.928246,1,3,0,sort
failure,p02570,0.4286,126,294,229,43,20,0.187773,3.214308,12,7,1,other
failure,p03136,0.4252,125,294,105,35,11,0.333333,4.956835,10,4,1,sum
failure,p02415,0.4252,125,294,34,9,9,0.264706,5.21117,1,5,0,string
failure,p02399,0.4218,124,294,21,6,6,0.285714,5.0404,1,3,0,other
failure,p02879,0.4218,124,294,105,35,11,0.333333,4.242072,12,4,1,other
failure,p02723,0.4218,124,294,175,54,15,0.308571,3.698139,15,6,1,string
failure,p03775,0.4218,124,294,82,33,11,0.402439,4.340713,9,4,1,count
failure,p02947,0.4218,124,294,87,34,33,0.390805,3.711055,2,4,1,count
failure,p03087,0.4218,124,294,65,18,18,0.276923,3.650506,1,6,0,count
failure,p03360,0.4184,123,294,34,17,17,0.5,5.142508,1,4,0,sum
failure,p02830,0.4184,123,294,91,31,11,0.340659,4.195726,9,4,1,string
failure,p02860,0.4184,123,294,85,31,11,0.364706,3.970172,9,5,1,string
failure,p02576,0.4150,122,294,221,42,20,0.190045,3.23142,12,7,1,max
failure,p03102,0.4116,121,294,208,62,11,0.298077,4.485673,31,6,1,count
failure,p02627,0.4082,120,294,65,53,53,0.815385,3.149467,1,3,0,other
failure,p02381,0.4048,119,294,56,11,11,0.196429,4.912993,1,4,0,count
failure,p03106,0.4014,118,294,40,16,16,0.4,4.698151,1,6,0,sort
failure,p02767,0.4014,118,294,200,65,14,0.325,3.625686,22,5,1,sum
failure,p03478,0.4014,118,294,138,56,17,0.405797,4.974253,12,4,1,digit
failure,p02801,0.4014,118,294,88,27,27,0.306818,4.714047,1,3,0,other
failure,p03289,0.3946,116,294,113,51,35,0.451327,3.527948,10,7,1,string
failure,p02957,0.3946,116,294,108,34,11,0.314815,4.995298,10,4,1,other
failure,p02771,0.3912,115,294,25,16,16,0.64,4.756913,1,3,0,other
failure,p04012,0.3912,115,294,67,52,52,0.776119,4.473983,1,4,0,string
failure,p03494,0.3912,115,294,107,36,11,0.336449,4.926641,10,5,1,count
failure,p03308,0.3912,115,294,143,51,15,0.356643,3.762564,15,5,1,max
failure,p02628,0.3878,114,294,208,68,15,0.326923,3.836529,18,5,1,sum
failure,p02421,0.3878,114,294,80,23,23,0.2875,4.721905,1,7,0,string
failure,p02688,0.3878,114,294,161,48,15,0.298137,3.601781,9,6,1,other
failure,p02719,0.3878,114,294,182,54,15,0.296703,3.670474,15,6,1,min
failure,p03493,0.3844,113,294,98,34,11,0.346939,4.955511,10,4,1,count
failure,p03680,0.3844,113,294,157,54,15,0.343949,3.697131,15,5,1,other
failure,p02258,0.3810,112,294,60,13,13,0.216667,3.843975,1,7,0,max
failure,p03261,0.3810,112,294,133,46,11,0.345865,5.038152,12,4,1,count
failure,p02622,0.3810,112,294,205,68,15,0.331707,3.846219,18,5,1,string
failure,p02819,0.3810,112,294,77,30,20,0.38961,5.083987,8,5,1,other
failure,p03012,0.3810,112,294,120,35,15,0.291667,4.201834,14,6,1,unique
failure,p03695,0.3810,112,294,42,35,35,0.833333,4.73111,1,3,0,count
failure,p02255,0.3810,112,294,41,11,11,0.268293,4.770195,1,4,0,sort
failure,p02993,0.3776,111,294,128,42,14,0.328125,5.009282,10,4,1,string
failure,p03086,0.3776,111,294,45,17,17,0.377778,3.746796,1,6,0,count
failure,p02406,0.3776,111,294,67,24,24,0.358209,4.022214,1,5,0,replace
failure,p03720,0.3776,111,294,110,35,11,0.318182,4.985062,10,4,1,count
failure,p00005,0.3776,111,294,54,16,16,0.296296,4.529034,1,7,0,math
failure,p03457,0.3776,111,294,38,14,14,0.368421,4.050565,1,5,0,other
