problem_id,baseline_consensus,Without_Comments,With_Comments,DeadCode,Encryption,Variable_Renaming,drop_With_Comments,drop_DeadCode,drop_Encryption,drop_Variable_Renaming
p00001,1,1,1,1,0,1,0,0,1,0
p00002,1,1,1,1,1,1,0,0,0,0
p00003,1,1,1,1,1,1,0,0,0,0
p00005,1,1,1,1,1,1,0,0,0,0
p00006,1,1,1,1,1,1,0,0,0,0
p00007,0,0,1,1,1,0,-1,-1,-1,0
p00011,0,0,1,1,0,1,-1,-1,0,-1
p02255,0,0,1,1,1,1,-1,-1,-1,-1
p02256,0,0,1,1,1,1,-1,-1,-1,-1
p02257,1,1,0,1,1,0,1,0,0,1
p02258,1,1,1,1,1,1,0,0,0,0
p02259,1,1,1,1,0,1,0,0,1,0
p02260,1,1,1,1,1,1,0,0,0,0
p02263,1,1,1,1,0,1,0,0,1,0
p02264,1,1,1,1,0,1,0,0,1,0
p02268,1,1,1,1,0,0,0,0,1,1
p02381,1,1,1,1,0,1,0,0,1,0
p02388,1,1,1,1,1,1,0,0,0,0
p02389,1,1,1,1,0,1,0,0,1,0
p02390,0,0,1,0,0,0,-1,0,0,0
p02391,1,1,0,0,0,1,1,1,1,0
p02392,1,1,1,1,1,1,0,0,0,0
p02393,1,1,1,1,1,0,0,0,0,1
p02394,1,1,1,1,0,1,0,0,1,0
p02396,1,1,1,1,0,1,0,0,1,0
p02397,1,1,0,0,0,0,1,1,1,1
p02398,1,1,1,1,1,1,0,0,0,0
p02399,1,1,1,1,0,1,0,0,1,0
p02400,1,1,0,1,1,1,1,0,0,0
p02401,1,1,1,1,0,0,0,0,1,1
p02402,0,0,1,1,1,1,-1,-1,-1,-1
p02403,1,1,1,1,1,1,0,0,0,0
p02404,1,1,1,1,1,1,0,0,0,0
p02405,0,0,0,0,0,1,0,0,0,-1
p02406,1,1,1,1,1,1,0,0,0,0
p02407,0,0,1,0,0,0,-1,0,0,0
p02408,1,1,1,0,0,1,0,1,1,0
p02409,1,1,1,1,1,1,0,0,0,0
p02410,0,0,1,1,1,1,-1,-1,-1,-1
p02411,1,1,1,1,1,1,0,0,0,0
p02412,1,1,1,1,0,1,0,0,1,0
p02413,1,1,1,1,1,0,0,0,0,1
p02414,1,1,1,1,0,1,0,0,1,0
p02415,1,1,1,1,0,1,0,0,1,0
p02416,1,1,1,1,0,1,0,0,1,0
p02417,1,1,1,1,1,1,0,0,0,0
