group,rank,problem_id,lines_of_code,shannon_entropy,cyclomatic_complexity_total,cyclomatic_complexity_max,lizard_nloc,function_count
top10_success,1,p02701,84,4.254828,32,11,84,9
top10_success,2,p03470,103,4.100647,31,11,103,10
top10_success,3,p02898,160,3.568807,49,15,160,10
top10_success,4,p03160,237,3.368857,48,20,237,13
top10_success,5,p02393,43,3.267381,25,25,43,1
top10_success,6,p02831,81,3.978976,19,19,81,1
top10_success,7,p02835,116,4.210547,34,11,116,11
top10_success,8,p02259,122,4.998427,36,11,122,9
top10_success,9,p02766,99,3.982178,28,11,99,10
top10_success,10,p03161,240,3.345346,48,20,240,13
top10_failure,1,p02687,149,3.609833,45,15,149,9
top10_failure,2,p02390,60,3.731931,11,11,60,1
top10_failure,3,p03107,70,4.516046,15,15,70,1
top10_failure,4,p02717,126,4.500613,37,11,126,12
top10_failure,5,p03242,58,4.413902,15,15,58,1
top10_failure,6,p03449,36,4.680198,24,21,36,2
top10_failure,7,p02753,109,4.087967,31,22,109,4
top10_failure,8,p03282,40,4.823774,50,21,40,22
top10_failure,9,p03469,97,5.009537,32,11,97,10
top10_failure,10,p03315,17,4.534903,17,17,17,1
