model_key,model,p00001,p00002,p00003,p00005,p00006,p00007,p00011,p02255,p02256,p02257,p02258,p02259,p02260,p02263,p02264,p02268,p02381,p02388,p02389,p02390,p02392,p02393,p02394,p02396,p02397,p02398,p02399,p02400,p02401,p02402,p02403,p02404,p02405,p02406,p02407,p02408,p02409,p02410,p02411,p02412,p02413,p02414,p02415,p02416,p02417,p02418,p02419,p02420,p02421,p02547,p02552,p02553,p02570,p02571,p02576,p02577,p02578,p02582,p02595,p02612,p02613,p02621,p02622,p02627,p02628,p02629,p02639,p02640,p02641,p02657,p02658,p02659,p02675,p02676,p02681,p02682,p02687,p02688,p02693,p02694,p02699,p02700,p02701,p02706,p02707,p02711,p02712,p02713,p02717,p02718,p02719,p02723,p02724,p02725,p02729,p02730,p02743,p02753,p02754,p02755,p02759,p02766,p02767,p02771,p02772,p02773,p02777,p02778,p02779,p02783,p02784,p02785,p02786,p02789,p02790,p02791,p02801,p02802,p02811,p02812,p02817,p02818,p02819,p02829,p02830,p02831,p02832,p02835,p02836,p02847,p02848,p02860,p02879,p02880,p02881,p02886,p02887,p02897,p02898,p02899,p02909,p02910,p02911,p02916,p02917,p02921,p02922,p02923,p02924,p02934,p02935,p02945,p02946,p02947,p02951,p02952,p02953,p02957,p02958,p02959,p02970,p02971,p02981,p02982,p02983,p02987,p02988,p02989,p02993,p02994,p02995,p03000,p03001,p03011,p03012,p03013,p03035,p03037,p03041,p03042,p03059,p03060,p03071,p03072,p03073,p03075,p03076,p03086,p03087,p03102,p03106,p03107,p03109,p03126,p03136,p03146,p03147,p03160,p03161,p03220,p03239,p03242,p03243,p03261,p03281,p03282,p03285,p03289,p03292,p03293,p03308,p03315,p03316,p03324,p03325,p03352,p03360,p03370,p03371,p03378,p03416,p03434,p03435,p03448,p03449,p03455,p03456,p03457,p03469,p03470,p03471,p03474,p03478,p03493,p03494,p03545,p03632,p03644,p03680,p03695,p03720,p03775,p03814,p03835,p03854,p03998,p04012,p04030,p04043,p04044
gpt4o,GPT-4o,1,1,0.9,1,0.7,0.9,0.4,1,0.7,0.9,0,1,1,1,1,1,1,0.4,0.2,1,0.9,1,0.2,0.9,0.6,0.9,1,1,1,1,0.8,1,1,1,0.9,0.9,1,1,1,1,1,0.6,1,0.2,1,1,1,1,0.4,1,1,0.7,0.1,1,1,1,0.1,0.9,1,0.8,1,0.9,0.7,0.1,0.8,1,0.8,0.1,0,0.8,0.7,0.9,0.9,0.7,1,0.2,1,0.9,1,0.8,1,0.4,1,1,1,1,1,1,1,0.6,0.9,1,1,1,0.2,0.8,0.2,1,0.1,0.8,1,1,1,1,1,1,1,1,1,1,0,0.9,0.9,1,0.1,1,1,1,1,1,0,0.4,1,1,0.6,1,0.8,0.8,0.9,0.1,1,1,0.1,0.7,1,1,0.1,1,0,0,1,0.9,0.2,0.1,0,0.9,0.9,0.6,0.1,0.3,0,0.4,0.1,0.7,0,0,0.1,1,1,0.7,1,0.2,1,0,0,0,0,0,0.9,0.1,0.9,0.8,0.2,1,1,0,1,0.9,0,0,0,0,0,0,1,1,0,0.1,1,0,1,1,0.3,0.2,0.1,0,0.1,0.8,1,1,1,0,0,1,1,0,1,0.2,1,1,1,1,1,0.2,1,0,0,1,0.4,0.1,1,1,1,0.7,0.1,1,0.7,1,1,1,1,1,1,1,1,1,0.4,1,0.4,0.3,1,1,1,0.3,1,0,0.4,1,1,1
gpt35,GPT-3.5,0.7,0.8,0.9,0.3,0.7,0.2,0.6,1,1,0,0.2,1,1,0.8,0.3,0,0.8,0.3,0.2,0.9,0.7,1,0.3,0.8,0.9,0.8,1,1,0.9,1,0.6,0.6,0.6,0.7,0.4,0.2,0.6,0.9,0.4,0.9,0.9,1,1,0.3,0.9,0.9,0.9,0.9,0.7,0.9,0,0.8,0,0,0.2,0,0,0.9,0.6,0,0.6,0,0,0,0.8,1,0,0,0,0,0,0.4,0,0,0,0,0,0.2,0,0,0,0,0,0.4,0.2,1,1,1,0.4,0.3,0,0.8,0.1,0.9,0.2,0,0.1,1,0,0,1,0.1,0.9,0.4,0.4,1,0.1,1,1,1,0.2,0,0.9,0.4,0,0,0.1,0,0.2,1,0,0.1,0.9,0,0.3,0.1,0,0.8,0.1,0.1,0.4,0.1,0.1,0.7,0.4,0,0,0.2,0,0,0.9,0.2,0.2,0.2,0.1,1,0.2,0.1,0.1,0.6,0.2,1,0.8,0,0.1,0.1,0.1,0.1,0.4,0.1,0,0.4,1,0,0,0.4,0.4,0.1,0.1,0.1,0.2,0,0,1,0,0,0,0,0,0,0.1,0.1,0.1,0,0.8,0.2,0,0,0.1,0.1,0.8,0,0,0.1,0.1,0.4,0.1,0.9,0.9,0.9,0,0,0.8,0,0.6,0,1,0.2,1,0.4,1,0.8,1,0,1,0,0.1,0.2,0,0.2,0.4,1,0.4,0.2,0,0.9,0.4,0.2,0.9,1,0.8,0.2,0.9,0,0.1,1,0.1,0.9,0,0.2,0.6,0.9,1,0.1,1,0.1,1,0,0.9,1
o4mini,O4-mini,1,1,1,0.9,0.6,1,0.4,1,1,1,1,1,1,1,1,1,1,1,0,0.7,1,1,1,0.9,1,1,1,1,0.9,1,1,1,1,1,1,1,1,1,0.3,1,1,1,1,0.2,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9,1,1,0.1,1,1,0.7,1,0.6,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1,1,1,0.9,1,1,0,1,1,1,1,1,0.9,1,1,1,0.1,0.9,0.7,0.9,1,1,0.9,1,0,0,1,0.2,1,0.1,0,1,1,0.9,1,0.6,1,1,1,1,1,0,0,1,1,0.1,1,1,1,0,0.1,0.9,0,0,1,1,1,0,0.8,1,1,0.9,1,1,0,0,1,0.7,0.7,0,1,1,0.8,0.1,1,1,1,0.7,0.4,1,1,0,1,1,1,0.9,0,1,1,1,1,0,1,1,1,1,1,1,1,0.4,1,1,1,1,1,1,1,1,0.1,1,1,0.9,0,0.2,0.2,1,1,1,1,1,1,1,0,1,1,0.9,1,1,1,1,1,1,1,1,1,1
gemini,Gemini,0,1,0,1,0.9,0,0,0,0,1,0,0,0.1,1,0,0,0,1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,1,0,0,0.1,0,0,0.4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9,1,1,0,0,0,1,0,0,1,0,0,0,0,0.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.1,0,0,0.9,0,0,0.1,0,0,0,0,0,0.4,1,0
llama70b,Llama-70B,1,1,0.6,0.9,0.9,0.1,0.9,1,1,1,0,0.9,1,1,0.6,0.1,0.9,0,0,0.9,0.9,1,0.2,0.6,1,1,1,1,0.8,1,0.8,0.8,0.4,0.2,0.9,0.3,0.6,0.3,0.2,1,1,0.1,1,0,0.3,1,0.6,1,0.2,0.9,0,0,0,0.1,1,1,0.1,0.7,0,0,0.4,0,0,0,0.2,0.2,0,0,0,0,0,0.5,0,0,1,0,0,0,0,0,0.1,0.1,1,0.2,0.2,0.9,1,1,0,0.3,0,0.1,0.2,0,0,0.1,0,1,0,0,1,1,1,0.4,1,1,0.2,0.9,1,0.9,0.8,0.4,0.8,1,0.4,0.2,0.1,0.1,0.8,1,0,0.1,0.9,0,0,1,0.2,1,0,0,0.2,0,0.2,0,0.2,0,0,0.6,0,0,1,0,0.1,0,0.1,0.1,0,0.2,0,0.6,0.1,0.1,0,0,0.2,0,0.2,0.4,0.4,0,0,0,0,0.1,0,0.2,0,0.2,1,0.9,0,0.2,0.1,0,1,0,0,0,0,0,0,0,0,0,0.2,0.7,0.2,0,0,0.1,0.1,0.1,0,0.2,0.2,0.2,0.2,1,0.9,0.1,0,0.1,0,0.7,0.5,0,0.2,0.2,0.2,0.9,1,0.6,1,0,1,0,0.7,0.2,0,0.2,1,1,0,0.1,0,0,0.4,0,1,1,0.1,0.9,1,0,0,1,0,0.9,0,0.2,1,0.9,1,0,1,0,1,0,0.9,1
mistral,Mistral,0.6,0.9,1,0.8,0.8,1,0,1,0.7,0,0.4,1,1,1,0.4,1,1,1,0.4,0.9,1,1,0.8,0.6,0.9,1,1,1,1,1,0.9,1,1,0.9,1,0.8,1,0.4,0.4,1,1,0.7,1,0.1,1,0.2,1,0.4,0.4,1,0,1,0.8,0.9,1,1,0,0.9,1,0.1,0.2,0.4,0.9,0.1,0.8,0,0.7,0.1,0.7,0.4,0,0.2,0.2,0.1,1,0,1,1,0.4,0,0.2,0.2,1,1,0.9,1,1,1,0.2,0,0.9,1,0.2,1,1,1,0.8,1,0,0.9,1,1,1,0.2,1,1,1,1,1,1,0.1,1,0.9,1,0,0,1,0.4,0.2,1,0,0.8,1,1,1,0.1,0.2,0,0.1,0,0.8,0,0.6,1,1,1,0.8,0.3,0,0,1,0,0,0,0,0.1,1,0,1,0,0,1,0,1,1,0,0.8,0.8,1,0,1,0,0,0,0,0,0,0,0.3,0,0.1,0,0,1,1,0,0.4,0,0,0,1,0,0,1,0.1,1,0,0.9,0.1,0,0,0,0.1,1,0,0.1,0,1,1,0.9,0,0,0,0,0.9,0,1,0.9,1,1,1,1,1,0,1,0,0.1,0.9,0.1,0.9,1,1,0,0.1,0,1,0.2,0,1,1,0,0.2,0,1,0.4,0.6,0.2,0.8,0,0,1,0.4,1,0,1,0,1,1,1,0
deepseek_v31,DeepSeek-V3.1,1,0.9,1,0.9,0.9,1,1,1,0.8,0.9,0.1,1,1,1,1,1,1,1,0.2,0.8,0.9,1,1,0.6,1,0.7,1,0.9,1,1,0.9,1,1,0.9,0.7,1,1,1,1,1,1,0,1,0.2,1,1,1,1,1,1,1,1,1,0.9,1,1,0,0.8,1,1,1,1,1,0.7,1,1,1,1,0.4,1,1,0.9,1,1,1,1,0.9,1,1,0.1,1,1,1,1,1,1,1,1,1,1,0.9,0.6,0.6,1,1,0.8,0.8,1,1,0.7,1,1,1,1,1,1,1,1,1,1,0.8,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0.9,0.9,1,1,1,1,1,0.9,1,0.1,1,0,0,0,1,0.1,0.9,0.9,0.8,1,1,0.9,0.1,0.4,0.7,1,0.8,1,1,0,1,1,1,1,0,1,1,0.1,0.1,0.6,0.2,0,1,1,0.6,0.2,0.2,1,1,0.9,0.4,0.8,0,0,1,0,1,1,1,1,0.1,0.7,1,0.9,1,1,0.4,0.4,1,0,1,1,1,1,1,0.1,0.9,1,1,0,1,0.3,1,0,0.9,1,1,0,1,0,0.2,1,1,0.6,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0.9,0.4,1,0.8,1,1,1,1,0.3,1,1,0,1,1,1
deepseek_r1,DeepSeek-R1,1,0.9,1,0.9,0.4,1,0.4,1,0.2,0.9,0.7,0.9,1,1,1,0.9,1,1,0,0.9,1,1,0.9,0.2,1,0.7,1,0.9,1,1,0.9,0.9,1,0.9,0.9,1,1,0.2,0.9,1,1,0,0.9,0.9,1,1,1,0,1,1,1,0.7,1,1,1,1,1,1,1,1,1,1,1,0.7,1,1,0.4,1,0.9,1,0.6,1,1,1,1,1,1,0.9,1,0.1,1,1,1,1,1,1,1,1,1,1,0.2,1,0.4,1,1,0.6,1,1,1,1,1,0.9,1,1,1,1,1,1,1,1,0.4,1,1,1,0,0.9,1,1,1,1,0.4,1,1,1,1,1,1,1,1,1,0.8,1,1,0.6,1,1,1,1,0.1,0,1,0,1,0.8,0,1,1,1,1,0.9,1,1,1,0.9,0,0.9,0,1,1,0.1,1,1,1,0,0.1,0.7,1,0,0.9,1,1,0,0.2,1,1,0.9,1,1,0,1,1,1,0.9,0.9,1,1,0.7,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0.9,1,1,0,1,0.9,1,1,0.9,1,1,0,1,1,0,1,0.4,1,1,1,0.8,1,1,1,1,1,0.9,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1
deepseek_v4_pro,DeepSeek-V4-Pro,1,1,0.9,0.9,0.9,1,0.6,1,0.4,0.9,0,1,1,1,1,1,0.9,1,0.2,0.9,0.9,0.9,0.3,0.3,0.9,0.9,1,0.9,0.9,1,0.8,0.9,1,1,0.9,1,1,1,0.9,1,0.7,0.4,1,0.2,0.9,1,1,0.7,1,1,0.1,0.2,0.4,0.9,1,1,0,1,1,1,0.8,0.9,1,0.7,1,1,1,1,0.9,0.9,1,0.9,0.9,0.9,1,1,1,1,0.9,0,1,1,1,0.9,1,1,1,1,1,1,0.9,1,1,1,1,0.8,0,1,1,0.9,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0.1,1,1,0.9,1,1,1,1,1,0.9,1,0.9,0,0.8,0,1,1,1,1,1,1,0.7,0.1,1,1,0.6,1,0,1,1,0.9,0,1,1,1,1,0.4,0,0.4,0.2,1,1,0.8,1,0.4,1,0,0.1,0.6,1,0,1,1,0.6,0,0.4,1,1,1,1,1,0,0.9,1,0,1,0,0.9,1,0.1,0.7,1,1,1,1,0.6,0.3,1,0,0.2,1,1,0.4,0.9,1,0,0.2,0,0,0.9,0.1,1,0,1,0.9,1,0.1,1,0,0.1,1,0.7,1,1,1,0.2,0.6,0,1,0.9,1,1,1,1,1,1,1,1,1,0,1,0.7,1,1,1,1,1,1,0,1,1,1,1
qwencoder32b,QwenCoder,0.9,1,0.9,1,1,0,0.9,1,0.4,1,0,1,1,1,1,0.4,0.9,1,0.4,0.7,0.4,1,0.2,0.4,1,1,0.9,0.9,1,1,0.7,0.8,0.9,1,1,1,1,1,0.9,1,1,1,1,0.2,1,1,0.9,1,0.7,1,0.1,0.7,1,1,1,1,1,0.7,0,0.7,0.9,0.4,0.9,0,1,1,0.8,0.4,1,0.8,1,0.8,0.7,0.9,1,0.2,0.9,1,1,0.1,1,0.6,1,0.8,0.8,1,1,1,0,1,1,1,0.2,1,0,0.4,1,1,0.1,0.9,1,1,0.8,1,0,1,1,1,1,1,0.1,1,0.8,1,0,1,1,0.4,1,0.7,0,0.4,0.9,0.9,0,1,0,0.9,1,0,1,1,1,1,0,1,1,0.9,0,0,1,1,0.2,0.1,0.1,1,1,0.2,0.9,0.4,0.9,1,0.4,1,0.8,0,0,1,1,0,1,0,1,0,0,0.9,0,0,0.5,1,1,0.1,0,1,1,0.2,0.6,0.8,0,0,0.4,0.2,0,0,0.9,0.9,0.2,0,1,1,1,1,0.1,0,1,0.2,0.2,1,1,1,0.4,0,0.8,0.1,0.1,0,1,0.6,1,0.9,0.9,1,1,0.1,1,0,1,0.9,0.9,1,1,1,0.1,0.9,0.1,0.9,0.4,0.8,0.2,1,0.9,0.7,1,0,1,1,0.3,0.2,0.4,0.2,1,1,1,0.4,1,0.2,1,1,1,1
qwen37_plus,Qwen3.7,1,1,1,1,0.2,0.9,1,1,0.4,0.9,1,1,1,1,1,1,1,1,0,0.8,0.9,1,1,0.2,1,0.7,1,1,1,1,0.7,0.9,1,1,0.9,1,1,0.9,0.6,1,0.7,1,1,1,0.7,1,1,1,1,1,0,0.7,0,1,1,1,1,1,1,0.7,0.8,0.9,0.9,0.1,1,1,0,1,0.9,0.2,1,1,0.8,0,1,0.2,0.7,1,1,0.7,1,0.9,1,1,1,1,1,1,1,1,0.1,1,1,1,1,1,1,1,0.4,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.1,1,1,1,0.9,1,1,1,1,0.8,1,1,1,1,1,1,1,1,1,1,0.6,1,1,1,1,1,0,1,0.8,1,0.4,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0.4,0.1,0.9,1,0.8,1,1,0.9,1,1,0,0.1,1,1,1,1,0.9,1,1,1,1,0.7,1,1,1,0.1,1,1,1,1,1,1,1,1,0.2,1,1,1,0.9,0.9,1,0.9,1,1,0,1,0.9,1,1,1,1,1,0.2,1,1,0,1,1,0,1,1,0.8,1,0,1,0.9,1,1,1,1,1,1,1,1,1,0.4,1,0.3,1,1,1,1,1,1,1,1,1,1,1
