model_key,model,mbpp_0016,mbpp_0018,mbpp_0039,mbpp_0043,mbpp_0044,mbpp_0070,mbpp_0079,mbpp_0083,mbpp_0100,mbpp_0102,mbpp_0108,mbpp_0109,mbpp_0123,mbpp_0125,mbpp_0128,mbpp_0131,mbpp_0134,mbpp_0159,mbpp_0165,mbpp_0172,mbpp_0175,mbpp_0178,mbpp_0181,mbpp_0186,mbpp_0202,mbpp_0217,mbpp_0220,mbpp_0226,mbpp_0264,mbpp_0285,mbpp_0315,mbpp_0321,mbpp_0349,mbpp_0350,mbpp_0364,mbpp_0374,mbpp_0377,mbpp_0386,mbpp_0387,mbpp_0396,mbpp_0406,mbpp_0415,mbpp_0433,mbpp_0434,mbpp_0437,mbpp_0449,mbpp_0454,mbpp_0480,mbpp_0482,mbpp_0509,mbpp_0523,mbpp_0526,mbpp_0532,mbpp_0537,mbpp_0552,mbpp_0563,mbpp_0570,mbpp_0602,mbpp_0619,mbpp_0628,mbpp_0643,mbpp_0664,mbpp_0674,mbpp_0719,mbpp_0745,mbpp_0756,mbpp_0757,mbpp_0764,mbpp_0771,mbpp_0774,mbpp_0776,mbpp_0781,mbpp_0787,mbpp_0794,mbpp_0818,mbpp_0823,mbpp_0826,mbpp_0838,mbpp_0868,mbpp_0879,mbpp_0880,mbpp_0885,mbpp_0897,mbpp_0909,mbpp_0917,mbpp_0930,mbpp_0937,mbpp_0958,mbpp_0964
gpt4o,GPT-4o,0.7,0.6,1,0.4,0.3,0.1,0.7,0.1,1,0.8,0.4,0,1,0,0.9,1,0.2,1,1,0.4,0.7,0.2,0.7,0.4,0.8,1,0.9,0.4,1,0.9,0.2,0.9,0.8,0.7,1,0.4,0.2,0.7,0,0,0.8,0.9,0.7,0.4,0.9,1,0.1,1,0.6,0.8,0.7,0.9,1,1,1,0.8,0.7,1,0.8,0.9,1,1,0.9,0.7,1,1,1,0.8,1,0.8,0.1,0.8,0.2,0.4,0.4,0.3,0.7,1,1,0.9,1,1,0.8,1,0.3,1,0.8,1,0.4
gpt35,GPT-3.5,0.9,0.1,0,0,0.4,0,0,0,1,1,0.3,0,0.8,0,0.4,0.7,0,0.6,1,0.2,1,0.3,0,0,0,0.7,0,0,0,0.4,0,0,0.5,0.2,0.8,0.1,1,0.1,0,0,0.3,0.7,0,0.2,0.7,0,0.4,0.7,0,0.9,0.2,0.9,1,1,0.6,0,0,0,0.9,0.6,0.1,0.2,0.4,0,0.7,0,0,0.3,1,0.4,0.4,0.4,0,0,0,0.1,1,0.7,1,0.1,1,0.9,0.3,1,0.2,0,0.9,1,0
o4mini,O4-mini,0.4,1,0.6,0.4,0,0.1,0.4,0.4,1,0.7,0.4,0,1,0,0.9,1,0,1,0.9,0.4,0.7,0.1,0.8,0.8,0.7,0.8,0.8,1,1,0.9,0.9,1,0.6,0.1,1,0.4,0.7,0.1,0,0.7,0.4,0.8,0.4,0.4,0.8,1,0.3,1,0.4,1,0.7,0.8,1,1,0.9,0.7,0.9,1,0.6,0.9,1,0.9,0.7,0.3,0.6,0.8,0.9,0.4,0.9,0.9,0.4,0.8,0.6,0.6,0.4,0.1,0.4,1,1,0.8,1,1,1,1,0.4,0.4,0.8,1,0.4
gemini,Gemini,0.9,0,0,0,1,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0.1,0,0,1,0,0,0,0,0,0.9,1,0,0.4,1,0,0,0,0,0,0,1,0,0,0.4,1,0,0,0.1,0.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.7,0.8,0,1,0,0,0,0,0,0,0.2,0,0,0,1,0,0,0,0,1,0
llama70b,Llama-70B,0,0,0,0,0,0.1,0,0,1,0,0.3,0,1,0,0.2,0.8,0,0.4,0.1,0,1,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0.8,0.1,0,0.2,0,0,0.2,1,0,0,0.1,1,0,0.7,0,0.8,0,0,0.7,1,0,0.1,0.2,0,0,0.9,0.1,0.3,0.1,0,0.1,0,0,0,0,0.4,0.2,0,0,0,0,0,0.8,0,1,0,0.1,0.3,0,0,0,0,0.2,0.9,0
mistral,Mistral,0.6,0.1,0,0.1,0,0,0.2,0,1,0.8,0.4,0,1,0,0.7,1,0,1,0,0.4,1,0,0.9,0.6,0.2,0.8,0,0,1,1,0,0.1,0.1,0.4,1,0,0.2,0.4,1,0,0.3,1,0,0.1,0.7,1,0.7,0.7,0.6,1,0.4,0.8,1,0.9,1,0.4,0.7,0.7,0.2,0.7,0,1,0.4,0,0,0.8,0,0.4,0.9,0.9,0.3,0.7,0.4,0.2,0.3,0,1,1,1,0.9,1,0.8,0.3,1,0.3,0.2,0.7,1,0.4
deepseek_v31,DeepSeek-V3.1,0.7,1,0.6,0.4,0.3,0,0.4,0.2,0.9,1,0.4,0,1,0,0.9,1,0,1,0.8,1,0.9,0.2,1,0.8,0.7,1,1,1,0.7,1,0.8,1,0.8,0,1,0.4,0.9,1,0.9,0.6,0.9,1,0.4,0.6,0.2,0.6,0.2,1,0.4,1,0.8,1,1,1,1,0.2,0.4,1,0.8,0.7,1,1,0.9,0.7,1,1,0.9,1,1,1,0.4,1,0.9,0.6,1,0.4,0.5,0.4,1,0.8,1,1,1,1,0,0.1,1,1,0.1
deepseek_r1,DeepSeek-R1,0.4,1,1,0.3,0.2,0,0.4,0,1,1,0.3,0,1,0.4,0.6,1,0,0.7,1,1,1,0,1,0.8,1,1,0.1,1,0.9,1,0.9,1,0.4,0,1,0.6,1,1,1,0.6,0.2,1,0,0.8,0,1,0.4,1,0.4,1,0.6,0.9,1,1,1,1,0.7,1,0.1,0.6,1,0.9,0.3,0.9,0.7,1,0.9,0.1,1,0.9,0,1,1,0.6,1,0.4,0.4,1,1,0.8,1,0.7,0.9,1,0.4,0.6,1,1,0.4
deepseek_v4_pro,DeepSeek-V4-Pro,0.7,1,1,0.6,0.3,0.2,0.4,0.2,1,1,0.4,0,1,0.1,0.6,1,0,1,1,1,0.8,0.4,1,0.2,1,1,1,1,0.7,1,0.4,1,0.9,1,1,0.4,1,1,1,0.7,1,1,0.9,0.7,0,0,0.3,1,0.2,1,0.7,1,1,1,1,0.7,0.6,1,0.7,0.7,1,0.9,0.9,0.4,1,1,0.4,1,1,0.9,0,0.9,0.9,0.4,1,0.4,0.4,0.4,1,0.7,1,1,1,1,0.4,0.4,1,1,0.4
qwencoder32b,QwenCoder,0.8,0.4,0.9,0.4,0.8,0,0.6,0,1,0.8,0.6,0,1,0,0,1,0,1,1,1,0.9,0,0.7,0.2,0.7,0,0.7,0,0.4,0.3,0,0.1,0,0.4,1,0.4,0.3,0,0,0.6,0.8,1,0.7,0.6,0.8,0.8,0.2,1,0.7,0.7,0.1,0.7,1,1,0.8,0.1,0.6,1,0,0.3,0.8,0.9,0.3,0,0.7,0.8,1,0,1,1,0,1,0,0.1,0.2,0.1,1,1,1,0,1,1,0.4,1,0,0,1,1,0.6
