rank,model1,model2,model1_key,model2_key,n_valid,union_pct,both_pct,only1_pct,only2_pct,single1_pct,single2_pct,both,only1,only2
1,GPT-3.5,Gemini,gpt35,gemini,656,85.8232,68.5976,6.0976,11.1280,74.6951,79.7256,450,40,73
2,Gemini,Llama-70B,gemini,llama70b,656,85.5183,70.7317,8.9939,5.7927,79.7256,76.5244,464,59,38
3,Gemini,QwenCoder,gemini,qwencoder32b,656,85.0610,72.1037,7.6220,5.3354,79.7256,77.4390,473,50,35
4,QwenCoder,Qwen3.7,qwencoder32b,qwen37_plus,656,84.7561,69.3598,8.0793,7.3171,77.4390,76.6768,455,53,48
5,GPT-4o,Gemini,gpt4o,gemini,656,84.6037,72.2561,4.8780,7.4695,77.1341,79.7256,474,32,49
6,Llama-70B,DeepSeek-R1,llama70b,deepseek_r1,656,84.6037,66.6159,9.9085,8.0793,76.5244,74.6951,437,65,53
7,Llama-70B,Qwen3.7,llama70b,qwen37_plus,656,84.6037,68.5976,7.9268,8.0793,76.5244,76.6768,450,52,53
8,Llama-70B,GLM-5,llama70b,glm5,656,84.2988,70.2744,6.2500,7.7744,76.5244,78.0488,461,41,51
9,GPT-3.5,Qwen3.7,gpt35,qwen37_plus,656,84.1463,67.2256,7.4695,9.4512,74.6951,76.6768,441,49,62
10,GPT-3.5,Claude-5,gpt35,claude_sonnet_5,656,84.1463,66.6159,8.0793,9.4512,74.6951,76.0671,437,53,62
11,Gemini,Mistral,gemini,mistral,656,84.1463,69.9695,9.7561,4.4207,79.7256,74.3902,459,64,29
12,O4-mini,Gemini,o4mini,gemini,656,83.9939,72.2561,4.2683,7.4695,76.5244,79.7256,474,28,49
13,O4-mini,Llama-70B,o4mini,llama70b,656,83.9939,69.0549,7.4695,7.4695,76.5244,76.5244,453,49,49
