rank,model1,model2,model1_key,model2_key,n_valid,union_pct,both_pct,only1_pct,only2_pct,single1_pct,single2_pct,both,only1,only2
1,GPT-3.5,GPT-5,gpt35,gpt5,656,85.5183,66.4634,9.2988,9.7561,75.7622,76.2195,436,61,64
2,GPT-3.5,GLM-5,gpt35,glm5,655,85.3435,68.5496,7.3282,9.4656,75.8779,78.0153,449,48,62
3,GPT-3.5,Gemini,gpt35,gemini,656,85.2134,69.8171,5.9451,9.4512,75.7622,79.2683,458,39,62
4,Gemini,QwenCoder,gemini,qwencoder32b,656,84.9085,71.9512,7.3171,5.6402,79.2683,77.5915,472,48,37
5,GPT-3.5,DeepSeek-V4-Pro,gpt35,deepseek_v4_pro,656,84.7561,66.7683,8.9939,8.9939,75.7622,75.7622,438,59,59
6,GPT-4o,GPT-3.5,gpt4o,gpt35,656,84.6037,68.5976,8.8415,7.1646,77.4390,75.7622,450,58,47
7,GPT-3.5,Qwen3.7,gpt35,qwen37_plus,656,84.6037,67.2256,8.5366,8.8415,75.7622,76.0671,441,56,58
8,GPT-4o,Gemini,gpt4o,gemini,656,84.4512,72.2561,5.1829,7.0122,77.4390,79.2683,474,34,46
9,GPT-3.5,O4-mini,gpt35,o4mini,656,84.4512,67.8354,7.9268,8.6890,75.7622,76.5244,445,52,57
10,GPT-3.5,DeepSeek-R1,gpt35,deepseek_r1,656,84.4512,66.4634,9.2988,8.6890,75.7622,75.1524,436,61,57
11,GPT-3.5,Claude-5,gpt35,claude_sonnet_5,656,84.4512,68.7500,7.0122,8.6890,75.7622,77.4390,451,46,57
12,GPT-3.5,Kimi-K2.7,gpt35,kimi_k25,656,84.4512,67.6829,8.0793,8.6890,75.7622,76.3720,444,53,57
13,Llama-70B,Qwen3.7,llama70b,qwen37_plus,656,84.4512,66.1585,8.3841,9.9085,74.5427,76.0671,434,55,65
