rank,model1,model2,model1_key,model2_key,n_valid,union_pct,both_pct,only1_pct,only2_pct,single1_pct,single2_pct,both,only1,only2
1,Qwen3.7,GLM-5,qwen37_plus,glm5,250,94.8000,76.4000,5.6000,12.8000,82.0000,89.2000,191,14,32
2,DeepSeek-R1,GLM-5,deepseek_r1,glm5,250,94.0000,77.6000,4.8000,11.6000,82.4000,89.2000,194,12,29
3,GLM-5,Kimi-K2.7,glm5,kimi_k25,250,94.0000,83.6000,5.6000,4.8000,89.2000,88.4000,209,14,12
4,O4-mini,GLM-5,o4mini,glm5,250,93.6000,77.6000,4.4000,11.6000,82.0000,89.2000,194,11,29
5,O4-mini,Kimi-K2.7,o4mini,kimi_k25,250,93.2000,77.2000,4.8000,11.2000,82.0000,88.4000,193,12,28
6,DeepSeek-R1,Kimi-K2.7,deepseek_r1,kimi_k25,250,92.8000,78.0000,4.4000,10.4000,82.4000,88.4000,195,11,26
7,DeepSeek-V4-Pro,GLM-5,deepseek_v4_pro,glm5,250,92.8000,68.0000,3.6000,21.2000,71.6000,89.2000,170,9,53
8,Claude-5,GLM-5,claude_sonnet_5,glm5,250,92.4000,73.2000,3.2000,16.0000,76.4000,89.2000,183,8,40
9,O4-mini,Qwen3.7,o4mini,qwen37_plus,250,92.0000,72.0000,10.0000,10.0000,82.0000,82.0000,180,25,25
10,DeepSeek-V3.1,Kimi-K2.7,deepseek_v31,kimi_k25,250,92.0000,65.2000,3.6000,23.2000,68.8000,88.4000,163,9,58
11,Qwen3.7,Kimi-K2.7,qwen37_plus,kimi_k25,250,92.0000,78.4000,3.6000,10.0000,82.0000,88.4000,196,9,25
12,DeepSeek-V3.1,GLM-5,deepseek_v31,glm5,250,91.6000,66.4000,2.4000,22.8000,68.8000,89.2000,166,6,57
13,DeepSeek-V4-Pro,Kimi-K2.7,deepseek_v4_pro,kimi_k25,250,91.6000,68.4000,3.2000,20.0000,71.6000,88.4000,171,8,50
