rank,model1,model2,model1_key,model2_key,n_valid,union_pct,both_pct,only1_pct,only2_pct,single1_pct,single2_pct,both,only1,only2
1,O4-mini,GLM-5,o4mini,glm5,250,88.0000,72.0000,4.0000,12.0000,76.0000,84.0000,180,10,30
2,GLM-5,Kimi-K2.7,glm5,kimi_k25,250,88.0000,74.4000,9.6000,4.0000,84.0000,78.4000,186,24,10
3,Claude-5,GLM-5,claude_sonnet_5,glm5,250,87.6000,59.6000,3.6000,24.4000,63.2000,84.0000,149,9,61
4,DeepSeek-V4-Pro,GLM-5,deepseek_v4_pro,glm5,250,87.2000,55.2000,3.2000,28.8000,58.4000,84.0000,138,8,72
5,DeepSeek-R1,GLM-5,deepseek_r1,glm5,250,86.8000,69.6000,2.8000,14.4000,72.4000,84.0000,174,7,36
6,Qwen3.7,GLM-5,qwen37_plus,glm5,250,86.8000,68.8000,2.8000,15.2000,71.6000,84.0000,172,7,38
7,Gemini,GLM-5,gemini,glm5,250,86.4000,18.4000,2.4000,65.6000,20.8000,84.0000,46,6,164
8,DeepSeek-V3.1,GLM-5,deepseek_v31,glm5,250,86.4000,54.4000,2.4000,29.6000,56.8000,84.0000,136,6,74
9,Claude-5,Kimi-K2.7,claude_sonnet_5,kimi_k25,250,86.0000,55.6000,7.6000,22.8000,63.2000,78.4000,139,19,57
10,GPT-4o,GLM-5,gpt4o,glm5,250,85.6000,38.0000,1.6000,46.0000,39.6000,84.0000,95,4,115
11,O4-mini,DeepSeek-R1,o4mini,deepseek_r1,250,85.2000,63.2000,12.8000,9.2000,76.0000,72.4000,158,32,23
12,O4-mini,Kimi-K2.7,o4mini,kimi_k25,250,85.2000,69.2000,6.8000,9.2000,76.0000,78.4000,173,17,23
13,QwenCoder,GLM-5,qwencoder32b,glm5,250,85.2000,30.8000,1.2000,53.2000,32.0000,84.0000,77,3,133
