rank,model1,model2,model1_key,model2_key,n_valid,union_pct,both_pct,only1_pct,only2_pct,single1_pct,single2_pct,both,only1,only2
1,Claude-5,Kimi-K2.7,claude_sonnet_5,kimi_k25,250,96.8000,80.4000,4.8000,11.6000,85.2000,92.0000,201,12,29
2,Qwen3.7,Kimi-K2.7,qwen37_plus,kimi_k25,250,96.4000,84.8000,4.4000,7.2000,89.2000,92.0000,212,11,18
3,O4-mini,GLM-5,o4mini,glm5,250,96.0000,84.8000,3.6000,7.6000,88.4000,92.4000,212,9,19
4,DeepSeek-R1,GLM-5,deepseek_r1,glm5,250,96.0000,83.6000,3.6000,8.8000,87.2000,92.4000,209,9,22
5,DeepSeek-V4-Pro,Qwen3.7,deepseek_v4_pro,qwen37_plus,250,96.0000,78.8000,6.8000,10.4000,85.6000,89.2000,197,17,26
6,Qwen3.7,GLM-5,qwen37_plus,glm5,250,96.0000,85.6000,3.6000,6.8000,89.2000,92.4000,214,9,17
7,GLM-5,Kimi-K2.7,glm5,kimi_k25,250,96.0000,88.4000,4.0000,3.6000,92.4000,92.0000,221,10,9
8,O4-mini,Kimi-K2.7,o4mini,kimi_k25,250,95.6000,84.8000,3.6000,7.2000,88.4000,92.0000,212,9,18
9,DeepSeek-V3.1,Kimi-K2.7,deepseek_v31,kimi_k25,250,95.6000,80.0000,3.6000,12.0000,83.6000,92.0000,200,9,30
10,DeepSeek-V4-Pro,Kimi-K2.7,deepseek_v4_pro,kimi_k25,250,95.6000,82.0000,3.6000,10.0000,85.6000,92.0000,205,9,25
11,Claude-5,GLM-5,claude_sonnet_5,glm5,250,95.6000,82.0000,3.2000,10.4000,85.2000,92.4000,205,8,26
12,DeepSeek-R1,Kimi-K2.7,deepseek_r1,kimi_k25,250,95.2000,84.0000,3.2000,8.0000,87.2000,92.0000,210,8,20
13,GPT-4o,Kimi-K2.7,gpt4o,kimi_k25,250,94.8000,75.6000,2.8000,16.4000,78.4000,92.0000,189,7,41
