rank,model1,model2,model1_key,model2_key,n_valid,union_pct,both_pct,only1_pct,only2_pct,single1_pct,single2_pct,both,only1,only2
1,DeepSeek-V4-Pro,GLM-5,deepseek_v4_pro,glm5,704,88.0682,71.1648,6.1080,10.7955,77.2727,81.9602,501,43,76
2,DeepSeek-R1,GLM-5,deepseek_r1,glm5,704,87.9261,73.1534,5.9659,8.8068,79.1193,81.9602,515,42,62
3,Claude-5,GLM-5,claude_sonnet_5,glm5,704,87.9261,74.1477,5.9659,7.8125,80.1136,81.9602,522,42,55
4,Qwen3.7,Claude-5,qwen37_plus,claude_sonnet_5,704,87.7841,72.3011,7.6705,7.8125,79.9716,80.1136,509,54,55
5,GPT-3.5,GLM-5,gpt35,glm5,704,87.5000,54.1193,5.5398,27.8409,59.6591,81.9602,381,39,196
6,Qwen3.7,GLM-5,qwen37_plus,glm5,704,87.5000,74.4318,5.5398,7.5284,79.9716,81.9602,524,39,53
7,O4-mini,Qwen3.7,o4mini,qwen37_plus,704,87.3580,72.3011,7.3864,7.6705,79.6875,79.9716,509,52,54
8,O4-mini,Claude-5,o4mini,claude_sonnet_5,704,87.3580,72.4432,7.2443,7.6705,79.6875,80.1136,510,51,54
9,Llama-70B,GLM-5,llama70b,glm5,704,87.2159,53.9773,5.2557,27.9830,59.2330,81.9602,380,37,197
10,GPT-3.5,DeepSeek-R1,gpt35,deepseek_r1,704,87.0739,51.7045,7.9545,27.4148,59.6591,79.1193,364,56,193
11,DeepSeek-V3.1,Qwen3.7,deepseek_v31,qwen37_plus,704,87.0739,70.1705,7.1023,9.8011,77.2727,79.9716,494,50,69
12,DeepSeek-R1,Qwen3.7,deepseek_r1,qwen37_plus,704,87.0739,72.0170,7.1023,7.9545,79.1193,79.9716,507,50,56
13,QwenCoder,GLM-5,qwencoder32b,glm5,704,87.0739,62.7841,5.1136,19.1761,67.8977,81.9602,442,36,135
