dataset,model_key,model,n_problems,pct_s_enc_ge_0.45,pct_s_dead_ge_0.45,pct_s_enc_ge_0.50,pct_s_dead_ge_0.50,pct_s_enc_ge_0.55,pct_s_dead_ge_0.55
java250,claude_sonnet_5,Claude Sonnet 5,250,83.6,97.2,81.6,95.6,78.4,93.6
java250,deepseek_r1,DeepSeek-R1,250,88.4,99.6,86.0,99.6,82.4,99.2
java250,deepseek_v31,DeepSeek-V3.1,250,80.0,98.8,78.0,98.0,74.4,95.6
java250,deepseek_v4_pro,DeepSeek-V4-Pro,250,82.4,96.4,78.8,95.2,72.4,92.8
java250,gemini,Gemini-3-preview,250,91.2,98.0,90.8,97.6,89.6,96.0
java250,glm5,GLM-5,250,94.4,100.0,93.2,100.0,92.0,99.6
java250,gpt35,GPT-3.5-turbo,250,47.2,84.4,40.0,76.0,31.6,64.8
java250,gpt4o,GPT-4o,250,70.8,97.6,66.8,97.6,60.0,95.2
java250,gpt5,GPT-5-nano,250,80.4,96.4,76.4,95.6,72.0,94.4
java250,kimi_k25,Kimi-K2.7,250,93.2,99.2,92.0,99.2,88.4,98.4
java250,llama70b,Llama-70B,250,46.0,79.2,42.4,71.6,35.6,66.0
java250,mistral,Mistral,250,34.0,58.8,29.6,51.2,23.6,44.0
java250,o4mini,O4-mini,250,88.0,98.0,85.6,98.0,83.6,97.6
java250,qwen37_plus,Qwen3.7-plus,250,89.6,99.2,88.4,98.8,84.4,98.4
java250,qwencoder32b,Qwen2.5-Coder-32B,250,44.8,84.4,40.8,78.0,30.8,70.0
java906,claude_sonnet_5,Claude Sonnet 5,656,92.38,99.09,91.46,99.09,89.18,99.09
java906,deepseek_r1,DeepSeek-R1,656,92.99,99.85,91.77,99.54,89.18,98.78
java906,deepseek_v31,DeepSeek-V3.1,656,87.65,96.8,86.59,96.19,82.32,95.58
java906,deepseek_v4_pro,DeepSeek-V4-Pro,656,89.79,97.71,88.26,97.26,83.84,95.88
java906,gemini,Gemini-3-preview,656,95.88,100.0,95.27,100.0,93.6,99.85
java906,glm5,GLM-5,655,95.73,99.85,95.42,99.69,93.44,99.69
java906,gpt35,GPT-3.5-turbo,656,82.62,97.26,78.66,95.58,73.17,93.9
java906,gpt4o,GPT-4o,656,90.7,97.87,88.57,96.95,83.69,96.19
java906,gpt5,GPT-5-nano,656,89.33,99.54,87.04,99.24,83.23,98.63
java906,kimi_k25,Kimi-K2.7,656,96.04,99.7,95.12,99.7,92.84,99.7
java906,llama70b,Llama-70B,656,86.28,96.49,82.93,94.82,77.13,92.68
java906,mistral,Mistral,656,82.62,94.82,78.66,93.14,72.71,92.38
java906,o4mini,O4-mini,656,95.43,99.24,94.51,99.09,91.62,98.78
java906,qwen37_plus,Qwen3.7-plus,656,92.53,98.17,91.92,97.26,89.63,96.8
java906,qwencoder32b,Qwen2.5-Coder-32B,656,81.71,96.95,77.44,95.43,69.36,93.75
javascript250,claude_sonnet_5,Claude Sonnet 5,247,93.12,98.38,92.31,97.57,90.28,95.95
javascript250,deepseek_r1,DeepSeek-R1,250,92.4,97.2,90.4,97.2,88.0,96.0
javascript250,deepseek_v31,DeepSeek-V3.1,250,89.2,94.0,87.2,91.6,83.2,89.6
javascript250,deepseek_v4_pro,DeepSeek-V4-Pro,250,87.6,96.0,84.0,91.6,78.0,90.0
javascript250,gemini,Gemini-3-preview,250,41.6,41.2,38.0,36.0,30.4,32.4
javascript250,glm5,GLM-5,250,97.6,99.2,97.2,99.2,95.6,99.2
javascript250,gpt35,GPT-3.5-turbo,250,40.4,58.4,36.0,51.2,29.2,43.6
javascript250,gpt4o,GPT-4o,247,73.68,85.43,71.66,83.4,64.78,77.33
javascript250,gpt5,GPT-5-nano,250,85.2,90.8,81.6,88.8,73.6,85.6
javascript250,kimi_k25,Kimi-K2.7,250,96.4,100.0,96.4,99.6,93.6,99.2
javascript250,llama70b,Llama-70B,239,37.66,53.97,31.8,48.12,23.01,37.66
javascript250,mistral,Mistral,247,58.3,86.23,54.66,78.95,47.37,74.9
javascript250,o4mini,O4-mini,250,93.2,98.0,92.0,97.2,90.8,96.0
javascript250,qwen37_plus,Qwen3.7-plus,239,92.05,98.33,91.21,97.91,88.28,97.91
javascript250,qwencoder32b,Qwen2.5-Coder-32B,250,62.0,68.0,55.6,63.2,47.2,56.4
javascript454,claude_sonnet_5,Claude Sonnet 5,454,16.3,98.9,15.2,98.68,14.98,97.36
javascript454,deepseek_r1,DeepSeek-R1,454,18.06,98.02,17.4,96.92,17.4,95.59
javascript454,deepseek_v31,DeepSeek-V3.1,454,17.62,96.92,17.62,95.81,17.4,94.71
javascript454,deepseek_v4_pro,DeepSeek-V4-Pro,454,18.94,98.02,18.72,96.48,18.72,94.49
javascript454,gemini,Gemini-3-preview,454,9.03,41.85,8.37,39.65,7.71,37.67
javascript454,glm5,GLM-5,454,19.16,99.56,19.16,99.34,18.72,99.12
javascript454,gpt35,GPT-3.5-turbo,454,9.03,88.99,8.59,86.56,5.73,82.16
javascript454,gpt4o,GPT-4o,454,16.3,97.58,14.54,96.26,11.23,95.37
javascript454,gpt5,GPT-5-nano,454,9.91,92.51,8.81,90.53,5.73,88.99
javascript454,kimi_k25,Kimi-K2.7,454,18.72,100.0,18.28,99.56,17.18,99.34
javascript454,llama70b,Llama-70B,454,3.74,71.81,3.52,66.52,2.86,61.89
javascript454,mistral,Mistral,454,9.69,90.09,8.15,87.89,5.73,83.7
javascript454,o4mini,O4-mini,454,18.5,99.34,18.06,99.12,16.08,97.36
javascript454,qwen37_plus,Qwen3.7-plus,454,18.5,98.68,18.5,98.68,18.5,98.46
javascript454,qwencoder32b,Qwen2.5-Coder-32B,454,13.22,86.12,12.11,81.06,10.35,76.43
